Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,114800,120400,114100,114700,114338.5938,547708
2016-01-12,116000,118800,115500,116400,116033.2344,380917
2016-01-13,117600,120500,117500,119800,119422.5156,565479
2016-01-14,118600,119400,117700,118900,118525.3516,285578
2016-01-15,120000,120200,118000,118700,118325.9844,257682
2016-01-18,117200,118000,115200,116200,115833.8594,413388
2016-01-19,115900,116000,111300,114100,113740.4766,565343
2016-01-20,114300,114300,111600,112100,111746.7734,291592
2016-01-21,111600,112000,110500,111000,110650.25,327327
2016-01-22,111100,113800,111000,112800,112444.5703,243916
2016-01-25,113000,114100,112100,113100,112743.625,204406
2016-01-26,113000,113500,111700,112400,112045.8281,153600
2016-01-27,113000,113400,108600,109200,108855.9219,535449
2016-01-28,109700,109900,107700,109500,109154.9688,246640
2016-01-29,110000,110600,108700,109300,108955.6016,246942
2016-02-01,110100,110800,109100,109800,109454.0234,192405
2016-02-02,110000,110400,108700,108700,108357.4922,227072
2016-02-03,107900,109700,107900,109200,108855.9219,220630
2016-02-04,109200,109900,108700,109300,108955.6016,145694
2016-02-05,108200,112100,107300,108900,108556.8672,372885
2016-02-11,104500,104900,100700,100700,100382.7031,736337
2016-02-12,99000,100400,92700,92800,92507.59375,986206
2016-02-15,93100,95000,90600,92300,92009.16406,711070
2016-02-16,93600,95400,92800,94300,94002.86719,384215
2016-02-17,93600,95100,92100,92100,91809.80469,382889
2016-02-18,94300,94600,92300,92400,92108.85156,386095
2016-02-19,91500,93400,91500,92600,92308.21875,300078
2016-02-22,93000,93400,91500,92400,92108.85156,285597
2016-02-23,93000,97500,92900,96400,96096.25,725979
2016-02-24,96000,96100,94200,95000,94700.66406,350932
2016-02-25,95900,96800,93400,94500,94202.24219,295384
2016-02-26,94600,95300,94000,94100,93803.5,177571
2016-02-29,95100,95500,94000,94900,94600.97656,213161
2016-03-02,95800,97600,95100,97400,97093.10156,416215
2016-03-03,97400,101900,96300,101500,101180.1797,633883
2016-03-04,102400,104600,101300,103800,103472.9297,562840
2016-03-07,104100,107000,104100,105900,105566.3203,564062
2016-03-08,106600,107200,104500,106200,105865.375,341742
2016-03-09,106000,108500,105100,107800,107460.3281,339001
2016-03-10,107500,111900,107400,110100,109753.0781,620453
2016-03-11,110000,111900,108800,111200,110849.6172,380648
2016-03-14,112000,113300,111700,112600,112245.2031,343606
2016-03-15,112600,113000,110400,111400,111048.9844,312098
2016-03-16,111400,112500,108700,109600,109254.6563,389061
2016-03-17,111300,112500,110800,112300,111946.1484,284988
2016-03-18,113100,113400,111500,112200,111846.4609,198312
2016-03-21,112200,112200,107700,109700,109354.3359,380718
2016-03-22,108300,109600,106500,109500,109154.9688,384549
2016-03-23,108500,110000,106600,106600,106264.1094,340552
2016-03-24,106600,107600,106300,107000,106662.8438,140530
2016-03-25,106500,107000,102000,102700,102376.3984,455121
2016-03-28,101700,102800,100300,100800,100482.3828,383688
2016-03-29,100800,101900,99900,100400,100083.6484,316286
2016-03-30,100400,101800,99900,100100,99784.59375,350996
2016-03-31,100400,100500,98500,99200,98887.42969,561169
2016-04-01,99600,103500,99500,101800,101479.2344,366275
2016-04-04,99300,100400,98000,99300,98987.10938,478190
2016-04-05,99300,99600,96500,96500,96195.9375,498991
2016-04-06,96800,97500,96000,96800,96494.99219,321259
2016-04-07,97000,98700,97000,98400,98089.94531,224112
2016-04-08,97500,98800,96800,98800,98488.6875,209609
2016-04-11,99500,99800,97600,97800,97491.84375,200950
2016-04-12,99100,101900,99100,100400,100083.6484,462246
2016-04-14,102800,102800,100300,100300,99983.96094,363868
2016-04-15,101100,101900,100400,101200,100881.125,180592
2016-04-18,101400,102500,100600,102200,101877.9766,261253
2016-04-19,102100,102600,101600,102500,102177.0313,220187
2016-04-20,102000,103800,102000,103100,102775.1406,252591
2016-04-21,103500,103700,101200,101500,101180.1797,196377
2016-04-22,101500,101500,99500,99600,99286.16406,266347
2016-04-25,100400,104300,100000,104300,103971.3516,400201
2016-04-26,105600,105700,101600,101600,101279.8594,345534
2016-04-27,102500,103000,101300,102400,102077.3438,167047
2016-04-28,103500,103500,100400,100500,100183.3359,245294
2016-04-29,100000,100500,99500,100500,100183.3359,144488
2016-05-02,99500,100300,99400,99600,99286.16406,129817
2016-05-03,99600,100700,99600,99800,99485.53906,110400
2016-05-04,100100,100700,99700,100000,99684.90625,134988
2016-05-09,99700,102300,99700,101700,101379.5469,251719
2016-05-10,101900,102200,99900,100600,100283.0156,208613
2016-05-11,101500,106300,100800,105700,105366.9453,719902
2016-05-12,104300,107900,104000,106300,105965.0625,559362
2016-05-13,105700,105900,103300,103800,103472.9297,260861
2016-05-16,103100,106200,102400,105400,105067.8906,244587
2016-05-17,104500,106200,104100,105100,104768.8359,199833
2016-05-18,104100,104900,103100,104500,104170.7266,207110
2016-05-19,104600,105300,99800,100300,99983.96094,396406
2016-05-20,99900,100500,98500,99300,98987.10938,322346
2016-05-23,100200,101700,100000,100200,99884.28125,171336
2016-05-24,100200,100700,99200,99200,98887.42969,172022
2016-05-25,99400,100500,99200,99600,99286.16406,232780
2016-05-26,99700,100300,98900,99700,99385.85156,185523
2016-05-27,100400,101200,99900,100600,100283.0156,201380
2016-05-30,101600,103500,101300,102800,102476.0859,353802
2016-05-31,102800,103500,102000,102800,102476.0859,332493
2016-06-01,102900,103000,98100,98500,98189.63281,1011274
2016-06-02,99000,99300,96300,97500,97192.78906,556790
2016-06-03,97000,98600,96900,98000,97691.20313,321939
2016-06-07,97900,98600,97100,98200,97890.57813,278467
2016-06-08,97400,98400,96900,97000,96694.35938,330359
2016-06-09,97400,97500,94400,95200,94900.02344,870266
2016-06-10,95500,96100,94600,94900,94600.97656,394023
2016-06-13,94200,94500,93500,93800,93504.44531,262900
2016-06-14,93000,95200,93000,94100,93803.5,282122
2016-06-15,93900,94000,92800,92800,92507.59375,248917
2016-06-16,93000,93800,90900,91200,90912.63281,347392
2016-06-17,91700,92400,90700,91300,91012.32031,253700
2016-06-20,91500,94900,91500,94900,94600.97656,301386
2016-06-21,95200,95700,93600,93800,93504.44531,184809
2016-06-22,93300,94700,93300,94200,93903.17969,139412
2016-06-23,93800,94000,92900,93200,92906.32813,186812
2016-06-24,94500,94600,88300,91200,90912.63281,713158
2016-06-27,88700,91800,88700,91600,91311.375,322279
2016-06-28,91000,92600,90900,91200,90912.63281,277899
2016-06-29,92200,93300,92200,92200,91909.48438,237550
2016-06-30,93100,93700,92700,93100,92806.64844,163504
2016-07-01,93600,95300,93500,94700,94401.60938,280867
2016-07-04,95200,95500,93700,93800,93504.44531,190799
2016-07-05,93600,94300,92900,93300,93006.01563,187924
2016-07-06,93800,94900,92600,94700,94401.60938,271543
2016-07-07,94800,95700,94700,95000,94700.66406,194706
2016-07-08,94000,94300,93400,93700,93404.75781,224800
2016-07-11,94200,95000,93600,95000,94700.66406,184007
2016-07-12,95100,95700,95000,95500,95199.08594,248311
2016-07-13,96000,96200,94200,94500,94202.24219,229034
2016-07-14,95000,95000,94000,94800,94501.29688,149363
2016-07-15,95000,95400,94300,94300,94002.86719,197554
2016-07-18,94300,94500,93100,93200,92906.32813,198412
2016-07-19,93000,93900,93000,93500,93205.39063,131218
2016-07-20,93600,94600,93300,93500,93205.39063,129539
2016-07-21,94100,94300,92700,92700,92407.90625,183072
2016-07-22,92700,94100,92700,92700,92407.90625,188337
2016-07-25,93100,93200,92100,92200,91909.48438,176203
2016-07-26,92600,92600,91400,91500,91211.6875,223967
2016-07-27,91200,92300,91100,91200,90912.63281,192058
2016-07-28,91400,92000,90700,91600,91311.375,220576
2016-07-29,91500,91600,90900,90900,90613.57813,236131
2016-08-01,91500,91600,90600,91000,90713.26563,234983
2016-08-02,91000,91300,90800,91000,90713.26563,122894
2016-08-03,90700,94200,90600,93900,93604.125,416577
2016-08-04,93800,93800,92300,92300,92009.16406,266692
2016-08-05,92800,93600,92000,92100,91809.80469,209258
2016-08-08,92700,92700,91200,91500,91211.6875,198686
2016-08-09,91900,93000,91600,92900,92607.27344,288342
2016-08-10,93400,93400,92600,92700,92407.90625,298220
2016-08-11,93600,94300,91200,91300,91012.32031,459030
2016-08-12,91400,91500,89200,89500,89217.98438,762281
2016-08-16,89600,89800,88600,88600,88320.82813,381711
2016-08-17,88600,89300,88000,88000,87722.71875,342989
2016-08-18,88000,88500,86600,86700,86426.8125,433201
2016-08-19,86500,86700,84600,84700,84433.11719,602877
2016-08-22,84500,84700,82700,82700,82439.42188,449238
2016-08-23,82000,83900,80200,80500,80246.35156,861917
2016-08-24,81100,83100,80700,82500,82240.04688,696481
2016-08-25,82100,83000,81000,81000,80744.77344,346409
2016-08-26,80500,81500,80500,81000,80744.77344,255043
2016-08-29,80800,80900,79300,79300,79050.13281,478825
2016-08-30,79500,80800,79400,80000,79747.92969,293565
2016-08-31,80000,81300,79700,81300,81043.82813,342533
2016-09-01,81300,82200,80800,82100,81841.30469,334011
