Date,Open,High,Low,Close,Adj Close,Volume
2016-02-11,117800.000000,117800.000000,112600.000000,112600.000000,111559.796875,921705
2016-02-12,111000.000000,113200.000000,108800.000000,111200.000000,110172.726563,990410
2016-02-15,112200.000000,113400.000000,109600.000000,111200.000000,110172.726563,732590
2016-02-16,110600.000000,116000.000000,110600.000000,115000.000000,113937.625000,619715
2016-02-17,115600.000000,117400.000000,114800.000000,115000.000000,113937.625000,792315
2016-02-18,115600.000000,117600.000000,115200.000000,116400.000000,115324.687500,416140
2016-02-19,115800.000000,116400.000000,113600.000000,114600.000000,113541.320313,383640
2016-02-22,115000.000000,116200.000000,113000.000000,113000.000000,111956.093750,431360
2016-02-23,113800.000000,117400.000000,113600.000000,116800.000000,115720.992188,559285
2016-02-24,116600.000000,116800.000000,114400.000000,116000.000000,114928.390625,356105
2016-02-25,116200.000000,117800.000000,115600.000000,116400.000000,115324.687500,285475
2016-02-26,116200.000000,117200.000000,115000.000000,116000.000000,114928.390625,229860
2016-02-29,116000.000000,117000.000000,114000.000000,114400.000000,113343.164063,393545
2016-03-02,116800.000000,122400.000000,116200.000000,121800.000000,120674.804688,595495
2016-03-03,123000.000000,123000.000000,120400.000000,122000.000000,120872.953125,374365
2016-03-04,123000.000000,124200.000000,120800.000000,122600.000000,121467.414063,330580
2016-03-07,123000.000000,123800.000000,119800.000000,119800.000000,118693.281250,379425
2016-03-08,117600.000000,122400.000000,117600.000000,120800.000000,119684.046875,249625
2016-03-09,120200.000000,122000.000000,120000.000000,121600.000000,120476.664063,188300
2016-03-10,121600.000000,128800.000000,120400.000000,127000.000000,125826.773438,684255
2016-03-11,127600.000000,129800.000000,126200.000000,127200.000000,126024.921875,540570
2016-03-14,128200.000000,128400.000000,125000.000000,127000.000000,125826.773438,264125
2016-03-15,127000.000000,129600.000000,126400.000000,128200.000000,127015.679688,258320
2016-03-16,128800.000000,129400.000000,127000.000000,128000.000000,126817.531250,209965
2016-03-17,129800.000000,129800.000000,126000.000000,127200.000000,126024.921875,397580
2016-03-18,126600.000000,128400.000000,126000.000000,127800.000000,126619.375000,297590
2016-03-21,126800.000000,129600.000000,126600.000000,128400.000000,127213.828125,318805
2016-03-22,128200.000000,130800.000000,127800.000000,129800.000000,128600.906250,496300
2016-03-23,130000.000000,130400.000000,125400.000000,126800.000000,125628.609375,470045
2016-03-24,127600.000000,128400.000000,124200.000000,124800.000000,123647.085938,365355
2016-03-25,124800.000000,125800.000000,122200.000000,122600.000000,121467.414063,521765
2016-03-28,123200.000000,125600.000000,123000.000000,123400.000000,122260.031250,273830
2016-03-29,123400.000000,128000.000000,123200.000000,128000.000000,126817.531250,355250
2016-03-30,129800.000000,129800.000000,126400.000000,127400.000000,126223.070313,445900
2016-03-31,129000.000000,129200.000000,126600.000000,127400.000000,126223.070313,538915
2016-04-01,129000.000000,129000.000000,124800.000000,125600.000000,124439.695313,312780
2016-04-04,126400.000000,130200.000000,126400.000000,130200.000000,128997.210938,541695
2016-04-05,130000.000000,130600.000000,129600.000000,130400.000000,129195.359375,461325
2016-04-06,129000.000000,130200.000000,128400.000000,129800.000000,128600.906250,423140
2016-04-07,130200.000000,135400.000000,129800.000000,135000.000000,133752.859375,706960
2016-04-08,133400.000000,134000.000000,132000.000000,132600.000000,131375.031250,363465
2016-04-11,132600.000000,134000.000000,131200.000000,132800.000000,131573.187500,296800
2016-04-12,133200.000000,134400.000000,132000.000000,134000.000000,132762.109375,278290
2016-04-14,138000.000000,138200.000000,133600.000000,134600.000000,133356.562500,445245
2016-04-15,134400.000000,135400.000000,133600.000000,134600.000000,133356.562500,401140
2016-04-18,133600.000000,134400.000000,131400.000000,132200.000000,130978.734375,374705
2016-04-19,132200.000000,134400.000000,132200.000000,133800.000000,132563.937500,451405
